Epoch,Train Loss,Train Accuracy
104,1.3915783348083497,53.825
105,1.392769744873047,53.4
106,1.3967814350128174,53.4
107,1.3860313425064086,54.4
108,1.3885531396865844,54.275
109,1.3850825271606446,54.75
110,1.3759219675064087,55.625
111,1.3776613578796386,55.925
112,1.385941867828369,54.225
113,1.3810962715148927,55.2
114,1.3749563150405884,55.625
115,1.380398754119873,55.275
116,1.3799186525344849,55.1
117,1.364330943107605,56.25
118,1.3762903470993042,55.65
119,1.3694071989059449,56.05
120,1.375698691368103,55.775
121,1.3754651107788085,55.6
122,1.373660984992981,56.1
123,1.3719627380371093,56.3
124,1.368426308631897,56.175
125,1.3624290533065795,57.325
126,1.367422592163086,56.725
127,1.3639408836364746,56.725
128,1.3639199876785277,56.95
129,1.3658645057678223,56.925
130,1.3622966032028199,57.25
131,1.3632012243270875,57.025
132,1.361618758201599,57.75
133,1.3586131343841552,57.2
134,1.35476628780365,58.4
135,1.3565948238372803,58.025
136,1.3523114824295044,58.325
137,1.344484561920166,59.25
138,1.3557774305343628,57.9
139,1.3541594982147216,58.375
140,1.3549030866622924,57.5
141,1.351081663131714,58.475
142,1.3472896757125854,58.775
143,1.345575032234192,59.4
144,1.346355302810669,59.3
145,1.3502976989746094,58.65
146,1.3485849466323852,58.75
147,1.3508335151672364,58.3
148,1.3505992393493653,58.575
149,1.3468576602935791,59.0
150,1.3382193326950074,60.1
151,1.34178506565094,59.725
152,1.3345699853897095,60.325
153,1.3286957569122315,61.2
154,1.3337493677139283,60.7
155,1.3303605251312256,60.725
156,1.3303209381103516,60.85
157,1.3292117910385133,61.075
158,1.3310482759475708,60.75
159,1.330182812690735,60.95
160,1.3398097066879273,59.725
161,1.317332260131836,62.425
162,1.3273014268875123,61.475
163,1.3236348571777343,61.85
164,1.3314901485443116,60.675
165,1.3266927814483642,61.425
166,1.3319660930633546,60.425
167,1.325259397506714,61.2
168,1.324435354232788,61.4
169,1.319921895980835,62.0
170,1.3153228063583373,62.45
171,1.3126727743148803,63.025
172,1.3170711784362792,61.95
173,1.3145012435913086,62.6
174,1.3122506933212281,62.925
175,1.320547966003418,61.9
176,1.307926568031311,63.625
177,1.3181835527420045,62.775
178,1.3101661586761475,63.45
179,1.307414158821106,63.75
180,1.3097428073883057,63.025
181,1.3072125597000122,63.225
182,1.307897165298462,63.075
183,1.2999864177703857,64.3
184,1.3108922519683839,63.3
185,1.3032069873809815,64.175
186,1.299525601387024,64.675
187,1.300605224609375,64.725
188,1.298498007774353,64.625
189,1.3072958946228028,63.25
190,1.297261387825012,64.425
191,1.2993109102249145,64.825
192,1.2955915098190307,65.25
193,1.2976620368957519,64.525
194,1.2903448419570922,65.125
195,1.292237021446228,65.525
196,1.2941823225021363,64.775
197,1.2882158756256104,66.05
198,1.29013743019104,65.275
199,1.2892962436676025,65.375
200,1.2951425075531007,64.8
